0,1,1
0,6,4
1,1,1
1,6,3
2,1,1
2,6,3
3,1,1
3,6,1
4,1,2
4,6,3
5,1,1
6,1,1
6,6,1
7,1,1
7,6,2
8,1,2
8,6,3
9,1,1
9,6,2
10,1,2
10,6,3
11,1,1
11,6,1
12,1,1
12,6,1
13,1,1
13,6,4
14,1,1
14,6,2
15,1,1
15,6,2
16,1,1
16,6,3
17,1,2
17,6,5
18,1,1
18,6,3
19,1,1
19,6,2
20,1,1
20,6,1
21,1,2
21,6,1
22,1,1
22,6,1
23,1,2
23,6,2
24,1,1
24,6,2
25,2,1
25,6,1
26,2,2
26,6,4
27,2,1
27,6,1
28,2,2
28,6,3
29,2,1
29,6,5
30,2,2
30,6,1
31,2,1
31,6,4
32,2,1
32,6,3
33,2,1
33,6,2
34,2,1
34,6,1
35,2,1
35,6,3
36,2,1
36,6,3
37,2,2
37,6,2
38,2,1
38,6,2
39,2,1
39,6,1
40,2,1
40,6,3
41,2,2
41,6,3
42,2,1
42,6,4
43,2,1
43,6,1
44,2,1
44,6,3
45,2,1
45,6,1
46,2,1
47,2,1
47,6,2
48,2,3
48,6,
49,2,2
49,6,4
50,3,1
50,6,1
51,3,1
51,6,2
52,3,1
52,6,
53,3,1
53,6,2
54,3,2
54,6,2
55,3,1
55,6,2
56,3,1
57,3,1
57,6,6
58,3,1
58,6,3
59,3,1
60,3,2
61,3,1
61,6,1
62,3,1
63,3,2
63,6,5
64,3,2
64,6,4
65,3,2
65,6,2
66,3,1
66,6,3
67,3,1
67,6,4
68,3,1
68,6,2
69,3,1
69,6,1
70,3,2
70,6,3
71,3,1
71,6,4
72,3,1
72,6,2
73,3,1
73,6,2
74,3,2
74,6,2
75,4,1
75,6,1
76,4,1
76,6,3
77,4,1
77,6,2
78,4,1
78,6,2
79,4,1
79,6,5
80,4,2
80,6,4
81,4,1
81,6,2
82,4,1
82,6,3
83,4,1
83,6,2
84,4,3
84,6,
85,4,1
85,6,1
86,4,1
86,6,1
87,4,2
87,6,1
88,4,1
88,6,4
89,4,2
89,6,3
90,4,1
90,6,2
91,4,1
92,4,1
92,6,3
93,4,1
93,6,1
94,4,1
94,6,2
95,4,1
95,6,
96,4,1
96,6,3
97,4,1
98,4,2
98,6,1
99,4,1
99,6,3
100,4,1
100,6,1
101,5,1
101,6,3
102,5,1
102,6,2
103,5,3
103,6,4
104,5,2
104,6,3
105,5,1
105,6,1
