0,0,Don Hazeltine,Aven Riftwatcher
0,1,Paolo Parente,Benalish Commander
0,2,Pete Venters,"Crovax, Ascendant Hero"
0,3,John Avon,Dawn Charm
0,4,rk post,Dust Elemental
0,5,Zoltan Boros & Gabor Szikszai,Ghost Tactician
0,6,Michael Phillippi,Heroes Remembered
0,7,Randy Gallegos,Magus of the Tabernacle
0,8,Thomas M. Baxa,Mantle of Leadership
0,9,Jim Nelson,Pallid Mycoderm
0,7,Randy Gallegos,Poultice Sliver
0,10,Stephen Tappin,Rebuff the Wicked
0,11,Dan Scott,Retether
0,12,William O'Connor,Riftmarked Knight
0,1,Paolo Parente,Saltblast
0,13,Brian Despain,Saltfield Recluse
0,14,Steven Belledin,Serra's Boon
0,12,William O'Connor,Shade of Trokair
0,15,Tomas Giorello,Stonecloaker
0,16,Wayne Reynolds,Stormfront Riders
0,17,Terese Nielsen,Voidstone Gargoyle
0,5,Zoltan Boros & Gabor Szikszai,Whitemane Lion
0,18,Dave Kendall,Calciderm
0,19,Steve Prescott,Malach of the Dawn
0,20,Martina Pilcerova,Mana Tithe
0,7,Randy Gallegos,Mesa Enchantress
0,21,Kev Walker,Mycologist
0,22,Alan Pollack,Porphyry Nodes
0,23,Ron Spears,Revered Dead
0,14,Steven Belledin,Sinew Sliver
0,24,Volkan Baga,Sunlance
0,25,Dan Dos Santos,Aeon Chronicler
0,13,Brian Despain,Aquamorph Entity
0,26,Greg Staples,Auramancer's Guise
0,19,Steve Prescott,Body Double
0,5,Zoltan Boros & Gabor Szikszai,"Braids, Conjurer Adept"
0,27,James Wong,Chronozoa
0,14,Steven Belledin,Dichotomancy
0,11,Dan Scott,Dismal Failure
0,28,Jim Murray,Dreamscape Artist
0,5,Zoltan Boros & Gabor Szikszai,Erratic Mutation
0,2,Pete Venters,Jodah's Avenger
0,29,Rob Alexander,Magus of the Bazaar
0,30,Heather Hudson,Pongify
0,27,James Wong,Reality Acid
0,4,rk post,Shaper Parasite
0,10,Stephen Tappin,Spellshift
0,31,E. M. Gist,Synchronous Sliver
0,18,Dave Kendall,Tidewalker
0,5,Zoltan Boros & Gabor Szikszai,Timebender
0,32,Dave DeVries,Veiling Oddity
0,3,John Avon,Venarian Glimmer
0,13,Brian Despain,Wistful Thinking
0,25,Dan Dos Santos,Frozen Aether
0,33,Jon Foster,Gossamer Phantasm
0,19,Steve Prescott,Merfolk Thaumaturgist
