0,Creature — Angel Spirit,0,Angelic Curator
1,Instant,1,Blessed Reversal
1,Instant,2,Burst of Energy
2,Enchantment — Aura,3,Cessation
3,Creature — Human Knight,4,Defender of Law
4,Creature — Human,5,Devout Harpist
1,Instant,6,Erase
5,Creature — Human Soldier,7,Expendable Troops
1,Instant,8,Hope and Glory
1,Instant,9,Iron Will
0,Creature — Angel Spirit,10,Karmic Guide
6,Enchantment,11,Knighthood
6,Enchantment,12,Martyr's Cause
7,Creature — Human Cleric,13,Mother of Runes
6,Enchantment,14,Opal Avenger
6,Enchantment,15,Opal Champion
1,Instant,16,Peace and Quiet
6,Enchantment,17,Planar Collapse
8,Sorcery,18,Purify
9,Legendary Creature — Angel,19,"Radiant, Archangel"
5,Creature — Human Soldier,20,Radiant's Dragoons
1,Instant,21,Radiant's Judgment
10,Creature — Angel,22,Sustainer of the Realm
4,Creature — Human,23,Tragic Poet
11,Creature — Shapeshifter,24,Anthroplasm
12,Creature — Human Wizard,25,Archivist
6,Enchantment,26,Aura Flux
13,Creature — Beeble,27,Bouncing Beebles
14,Creature — Faerie,28,Cloud of Faeries
6,Enchantment,29,Delusions of Mediocrity
15,Creature — Illusion,30,Fleeting Image
1,Instant,31,Frantic Search
1,Instant,32,Intervene
16,Creature — Crab,33,King Crab
6,Enchantment,34,Levitation
1,Instant,35,Miscalculation
1,Instant,36,Opportunity
15,Creature — Illusion,37,Palinchron
17,Creature — Bird,38,Raven Familiar
1,Instant,39,Rebuild
6,Enchantment,40,Second Chance
2,Enchantment — Aura,41,Slow Motion
1,Instant,42,Snap
14,Creature — Faerie,43,Thornwind Faeries
8,Sorcery,44,Tinker
18,Creature — Drake,45,Vigilant Drake
19,Creature — Sponge,46,Walking Sponge
14,Creature — Faerie,47,Weatherseed Faeries
20,Creature — Minion,48,Bone Shredder
6,Enchantment,49,Brink of Madness
6,Enchantment,50,Engineered Plague
21,Creature — Horror,51,Eviscerator
22,Creature — Insect,52,Fog of Gnats
22,Creature — Insect,53,Giant Cockroach
6,Enchantment,54,Lurking Skirge
6,Enchantment,55,No Mercy
8,Sorcery,56,Ostracize
20,Creature — Minion,57,Phyrexian Broodlings
23,Creature — Carrier,58,Phyrexian Debaser
23,Creature — Carrier,59,Phyrexian Defiler
23,Creature — Carrier,60,Phyrexian Denouncer
23,Creature — Carrier,61,Phyrexian Plaguelord
