0,0,Creature — Kithkin Soldier,Ballyrush Banneret
1,1,Creature — Kithkin Cleric,Battletide Alchemist
0,2,Creature — Kithkin Soldier,Burrenton Bombardier
0,3,Creature — Kithkin Soldier,Burrenton Shield-Bearers
0,4,Creature — Kithkin Soldier,Cenn's Tactician
2,5,Creature — Shapeshifter,Changeling Sentinel
3,6,Instant,Coordinated Barrage
4,7,Enchantment — Aura,Daily Regimen
5,8,Tribal Sorcery — Giant,Feudkiller's Verdict
3,9,Instant,Forfend
3,10,Instant,Graceful Reprieve
6,11,Sorcery,Idyllic Tutor
7,12,Creature — Treefolk Warrior,Indomitable Ancients
0,13,Creature — Kithkin Soldier,Kinsbaile Borderguard
8,14,Creature — Kithkin Knight,Kinsbaile Cavalier
0,15,Creature — Kithkin Soldier,Kithkin Zephyrnaut
9,16,Creature — Elemental,Meadowboon
0,17,Creature — Kithkin Soldier,Mosquito Guard
8,18,Creature — Kithkin Knight,Order of the Golden Cricket
0,19,Creature — Kithkin Soldier,Preeminent Captain
3,20,Instant,Redeem the Lost
9,21,Creature — Elemental,Reveillark
9,22,Creature — Elemental,Shinewend
10,23,Creature — Giant Warrior,Stonehewer Giant
11,24,Creature — Merfolk Wizard,Stonybrook Schoolmaster
3,25,Instant,Swell of Courage
12,26,Creature — Giant Wizard,Wandering Graybeard
4,27,Enchantment — Aura,Weight of Conscience
13,28,Enchantment,Declaration of Naught
14,29,Creature — Faerie Rogue,Dewdrop Spy
3,30,Instant,Disperse
6,31,Sorcery,Distant Melody
15,32,Creature — Faerie Soldier,Fencer Clique
9,33,Creature — Elemental,Floodchaser
16,34,Creature — Merfolk Rogue,Grimoire Thief
11,35,Creature — Merfolk Wizard,Ink Dissolver
17,36,Creature — Faerie Wizard,Inspired Sprite
18,37,Tribal Sorcery — Rogue,Knowledge Exploitation
14,38,Creature — Faerie Rogue,Latchkey Faerie
16,39,Creature — Merfolk Rogue,Merrow Witsniper
6,40,Sorcery,Mind Spring
2,41,Creature — Shapeshifter,Mothdust Changeling
3,42,Instant,Negate
9,43,Creature — Elemental,Nevermaker
18,44,Tribal Sorcery — Rogue,Notorious Throng
6,45,Sorcery,Research the Deep
11,46,Creature — Merfolk Wizard,Sage of Fables
19,47,Tribal Instant — Wizard,Sage's Dousing
11,48,Creature — Merfolk Wizard,Sigil Tracer
9,49,Creature — Elemental,Slithermuse
11,50,Creature — Merfolk Wizard,Stonybrook Banneret
19,51,Tribal Instant — Wizard,Stream of Unconsciousness
9,52,Creature — Elemental,Supreme Exemplar
20,53,Tribal Instant — Rogue,Thieves' Fortune
